version	total
0.1.6	2382
0.1.10	2517
0.1.12	2512
0.2.1	2408
0.2.2	2394
0.2.3	2390
0.2.5	2393
0.3.1	2283
0.3.4	2281
0.3.7	2283
0.3.8	2281
0.3.9	2274
0.3.10	2701
0.3.11	2709
0.4.0	2319
0.4.1	2315
0.4.2	2324
0.4.4	2327
0.4.6	2310
0.4.7	2309
0.4.8	2312
0.4.9	2318
0.4.11	2747
0.4.12	2749
0.4.13	2744
0.4.15	2734
0.4.17	2743
0.4.18	2752
0.4.19	2747
0.5.0	2757
0.5.1	2758
0.5.4	2765
0.5.5	2763
0.5.6	2769
0.5.7	2756
0.5.8	2761
0.6.0	2763
0.6.1	3075
0.6.3	2753
0.6.4	2748
0.6.5	2752
0.6.6	2746
0.6.7	2755
0.6.8	2758
0.6.9	2750
0.6.10	2658
0.6.11	2644
0.6.13	2645
0.6.14	2645
0.6.15	2635
0.7.0	2745
0.7.1	2728
0.7.2	2725
0.7.3	2721
0.7.4	2723
0.7.5	2713
0.7.6	2721
0.7.7	2714
0.7.8	2709
0.7.9	2718
0.7.10	2725
0.7.11	2719
0.8.0	2713
0.8.1	2705
0.8.2	2703
0.8.4	2706
0.9.0	2704
0.9.1	2716
0.9.2	2703
0.9.3	2711
0.9.4	2701
0.9.5	2710
0.9.6	2710
0.9.7	2686
0.9.8	2676
0.9.9	2666
0.10.1	2262
0.10.2	2176
0.10.3	2156
0.10.4	2145
0.10.5	2115
0.10.6	2086
0.11.0	2109
0.11.1	2099
0.11.2	2097
0.11.3	2076
0.11.4	2059
0.11.5	2034
0.11.6	2012
0.12.0	2041
0.12.1	1983
0.12.2	1921
0.12.3	1876
0.12.4	1874
0.12.5	1869
0.12.6	1848
0.12.7	1830
0.12.8	1814
0.12.9	1801
0.13.0	1789
0.13.1	1780
0.13.2	1691
0.13.3	1661
0.13.4	1634
0.13.5	1611
0.13.6	1592
0.14.0	1418
0.14.1	1405
1.0.0	1550
1.0.1	1302
1.0.2	1256
1.0.3	1224
1.0.4	1062
1.0.5	1068
1.0.6	941
1.0.7	935
1.0.8	905
1.0.9	904
1.0.10	830
1.0.11	826
1.0.12	809
1.0.13	671
1.0.14	483
1.0.15	472
1.0.16	465
1.0.17	337
1.0.18	309
1.0.19	290
1.0.20	250
