version	total
1.3.2	2606
1.3.3	2566
1.3.5	2539
1.4.1	2606
1.4.4	2614
1.5.0	2528
1.5.1	2528
1.5.3	2434
1.5.5	2407
1.5.8	2386
1.5.9	3153
1.6.4	3088
1.6.5	2779
1.6.6	2725
1.6.7	2744
1.6.9	2740
1.7.3	2682
1.7.4	2670
1.7.6	2652
1.7.7	2635
1.7.8	2604
1.7.9	2567
1.7.10	2911
1.7.11	2898
2.0.0	2507
2.0.1	2505
2.1.0	2432
2.1.2	2406
2.1.4	2356
2.1.5	2349
2.1.6	2311
2.2.0	2291
2.2.1	2261
2.2.2	2216
2.3.1	2191
2.3.2	2188
2.3.3	2134
2.3.4	2075
2.4.0	2221
2.4.1	2143
2.4.2	2132
2.5.0	2644
2.6.1	2002
2.6.2	1910
2.6.3	1874
2.7.0	1730
2.7.1	1695
2.7.2	1689
2.8.0	1562
2.9.0	1446
2.10.0	1743
2.10.1	1681
2.10.2	1561
2.10.3	1545
2.11.0	1516
2.11.1	1397
2.11.2	1688
2.12.0	1167
2.12.2	1172
2.12.3	1198
2.13.0	1101
2.13.1	1101
2.14.0	1026
2.15.0	1027
2.15.1	1002
2.15.3	967
2.15.4	1032
2.16.0	919
2.16.1	891
2.17.0	1173
2.18.0	1112
3.0.0	551
3.0.1	556
3.0.2	543
3.0.3	547
3.0.4	527
3.0.5	538
3.1.0	489
3.2.0	396
3.3.0	303
3.4.0	371
3.5.0	356
3.5.1	388
3.6.2	435
3.6.3	442
3.6.4	516
3.6.5	299
3.7.0	271
4.0.3	18380
4.0.4	17386
4.1.1	16839
4.1.3	16700
4.2.1	3440
4.3.0	136
