version	total
0.16.2	5844
0.16.4	5937
1.0.0	5484
1.1.0	5441
1.2.2	5770
1.8.1	5847
1.10.4	5792
1.11.0	5949
1.13.0	7577
1.18.2	5993
1.19.0	5948
1.20.0	7723
1.23.1	2916
1.24.0	2971
1.25.0	3050
1.25.1	2916
1.26.1	2833
1.26.2	2831
1.26.3	3256
1.27.0	3081
1.28.0	2804
1.28.1	3341
1.28.2	3308
1.28.4	2920
1.29.0	2965
1.29.1	2842
1.30.0	2772
1.30.1	3617
1.31.0	2868
1.32.0	2712
1.32.1	6974
1.35.4	2657
1.35.5	2679
1.36.1	2766
1.36.2	3021
1.37.0	2625
1.38.0	2960
1.38.1	2971
1.39.0	3782
1.40.0	14782
1.40.2	3490
1.41.0	3740
1.41.3	2022
1.41.6	3587
1.42.0	4913
1.43.0	3845
1.44.1	2118
