version	total
0.11.1	5370
0.11.2	5341
0.11.3	5359
0.11.4	7461
0.12.0	6208
0.12.3	7506
0.14.2	3045
0.14.3	3058
0.14.9	3054
0.15.1	3057
0.15.2	3047
0.15.3	3096
0.15.7	3055
0.15.8	3048
0.15.10	3567
0.15.11	3141
0.15.12	3154
0.15.13	3172
0.16.2	3023
0.16.3	3002
0.16.5	3011
0.16.6	3026
0.16.7	3499
0.16.8	5028
0.16.10	3259
0.16.11	2913
0.16.12	2905
0.16.13	2892
0.16.14	2980
0.16.15	2977
0.16.16	2920
0.16.17	3431
0.16.18	2929
0.16.19	2958
0.16.20	3592
0.16.21	4889
0.16.22	3249
0.16.23	2904
0.17.0	3039
0.17.1	3063
0.17.2	3020
0.17.3	2963
0.17.4	2967
0.17.5	2962
0.17.6	2958
0.17.8	3419
0.17.9	3244
0.17.10	2719
0.18.1	2650
0.18.4	2836
0.18.5	2934
0.18.6	2695
0.19.0	2577
0.19.1	2911
0.19.2	2699
0.19.3	3171
0.19.4	4536
0.20.0	4102
1.0.0	2172
1.0.1	3139
1.1.0	2575
1.1.1	2399
1.1.3	2457
1.1.5	3420
1.2.0	2325
1.3.0	6363
1.3.1	1987
1.5.0	2184
1.5.1	1872
1.5.2	1857
1.5.3	2124
1.5.4	2208
1.5.5	1847
1.5.6	1848
1.5.7	3675
1.6.0	2002
1.6.2	2405
1.7.0	1852
1.7.1	1791
2.0.0	1788
2.1.0	1789
2.2.0	1800
2.2.1	1861
2.3.1	1825
2.3.3	1796
2.3.4	1818
2.4.0	1791
2.8.0	1459
2.9.0	1495
2.10.0	1395
2.11.0	1404
2.11.1	1587
2.12.0	1150
2.13.0	1141
2.13.2	1142
2.14.0	1797
2.15.0	1233
2.15.1	1111
3.0.0	1106
3.2.0	1327
3.3.0	1067
3.3.1	1287
3.3.2	955
3.4.0	820
3.4.1	939
3.5.0	756
3.6.0	714
3.6.1	752
3.7.0	722
3.7.1	814
3.7.2	2595
3.8.0	514
3.9.0	178
3.9.1	531
3.9.2	230
4.0.0	298
4.1.0	1576
4.2.0	123
4.3.0	81
4.3.1	115
4.3.2	158
4.4.0	112
4.4.1	672
4.5.0	1966
5.0.0	66
