version	total
2.4.6	6058
2.5.1	6326
2.6.1	2796
2.7.0	2516
2.8.0	3501
2.8.4	2429
2.8.5	2388
2.8.6	2553
2.8.7	2383
2.8.8	2353
2.8.9	2470
2.9.0	2702
2.10.0	2861
2.10.1	2862
2.11.0	3032
2.12.0	2968
2.13.0	2850
2.13.1	2971
2.14.0	2837
2.14.1	2890
2.15.0	2952
2.16.0	3147
2.17.1	2700
2.18.0	2545
2.18.1	2645
2.19.0	2671
2.20.0	2053
2.21.0	2341
2.24.0	673
2.24.1	686
2.24.2	624
2.25.0	571
2.26.0	493
2.27.0	255
2.28.0	295
2.29.0	243
2.29.1	244
2.29.2	206
2.30.0	309
2.30.1	101
2.31.0	113
2.31.1	73
2.31.2	75
2.32.0	72
2.33.0	37
2.34.0	37
