version	total
1.0.19	3065
1.0.20	3483
1.0.22	3061
1.0.23	3043
1.0.24	3054
1.0.25	3061
1.0.26	3058
1.0.27	3059
1.1.0	2584
1.1.1	2573
1.1.2	2573
1.1.3	2568
1.1.7	2584
1.1.8	2570
1.2.1	2590
1.2.3	2581
1.2.4	2586
1.2.6	2574
1.2.9	2588
1.2.10	3458
1.2.11	3091
1.2.12	3099
1.2.14	3084
1.2.15	3063
1.2.16	3067
1.2.18	3061
1.2.19	3415
1.2.20	1977
2.2.0	1485
2.2.1	1478
2.3.0	1461
2.3.2	1465
2.3.3	1093
2.3.4	1083
2.3.6	1094
2.3.7	673
2.3.8	207
2.3.9	83
2.3.10	111
3.0.6	71
3.2.4	58
3.2.5	65
3.2.9	71
3.3.0	58
3.4.0	58
3.4.1	112
3.4.2	55
3.4.3	57
3.5.2	53
3.6.1	46
3.6.3	46
3.6.4	54
3.6.5	52
3.6.6	54
3.6.7	28
